local_id,year,title,doi,openalex_id,paper_no,article_no,crossref_candidate_doi,crossref_title_similarity,openalex_title_similarity,local_author_count,network_author_nodes
publication:2024:44d46a3ded25,2024,Automatic Feature Recognition and Dimensional Attributes Extraction From CAD Models for Hybrid Additive-Subtractive Manufacturing,10.1115/detc2024-143107,https://openalex.org/W4404333640,IDETC2024-143107,,10.1115/detc2024-143107,1.0,1.0,7,10
publication:2024:45c499cb84ca,2024,Conductivity and Flexibility Enhancement of Aerosol-Jet-Printed Sensors using a Sliver Nanoparticle Ink with Carbon Nanotubes,10.24425/amm.2024.149754,https://openalex.org/W4400208797,,401,10.24425/amm.2024.149754,0.992,0.992,6,6
publication:2024:7114384538da,2024,Crack Control in Additive Manufacturing by Leveraging Process Parameters and Lattice Design,10.3390/mi15111361,https://openalex.org/W4404248629,,11,10.3390/mi15111361,1.0,1.0,5,6
publication:2024:b651782dd53f,2024,Current collectors of Carbon Fiber Reinforced Polymer for Stackable Energy Storage Composites,10.1016/j.ensm.2023.103070,https://openalex.org/W4388665511,,103070,10.1016/j.ensm.2023.103070,1.0,1.0,15,19
publication:2024:ba669b4d2d33,2024,Data-Driven autonomous printing process optimization and real-time abnormality identification in aerosol jet-deposited droplet morphology,10.1080/17452759.2024.2429530,https://openalex.org/W4404660321,,,10.1080/17452759.2024.2429530,1.0,1.0,6,7
publication:2024:4baa492ccf66,2024,Direct energy deposition for smart micro reactor,10.1080/17452759.2024.2411024,https://openalex.org/W4403342631,,,10.1080/17452759.2024.2411024,1.0,1.0,8,13
publication:2024:a8195b65590f,2024,Fabrication of 17-4PH stainless steel by metal material extrusion: Effects of process parameters and heat treatment on physical properties,10.1016/j.matdes.2024.113471,https://openalex.org/W4404500193,,113471,10.1016/j.matdes.2024.113471,1.0,1.0,4,4
publication:2024:061699f70d45,2024,In-Situ Defect Detection in Laser-Directed Energy Deposition with Machine Learning and Multi-Sensor Fusion,10.1007/s12206-024-2401-1,https://openalex.org/W4402172856,,4477,10.1007/s12206-024-2401-1,1.0,1.0,2,3
publication:2024:9d487adf2ffe,2024,In-situ process monitoring and adaptive quality enhancement in laser additive manufacturing: a critical review,10.1016/j.jmsy.2024.04.013,https://openalex.org/W4395020995,,527,10.1016/j.jmsy.2024.04.013,1.0,1.0,9,10
publication:2024:36781dfd9429,2024,Influence of nozzle temperature on gas emissions and mechanical properties in material extrusion-based additive manufacturing of super engineering plastics,10.1007/s40684-024-00614-y,https://openalex.org/W4393379446,,,10.1007/s40684-024-00614-y,1.0,1.0,6,6
publication:2024:63da618a7759,2024,Single-Track Melt Pool Simulation In Robotic Laser-Directed Energy Deposition Under Speed Inaccuracy,,,,,10.32604/icces.2024.012511,0.597,,5,5
publication:2024:95bbb33f191b,2024,Uncertainty quantification of Process-Property-Structure linkage for Fused Filament Fabrication parts,10.1115/1.4065443,https://openalex.org/W4396670133,,031102,10.1115/1.4065443,1.0,1.0,2,3
publication:2023:5d6651d1cd8f,2023,A design optimization framework for 3D printed lattice structures,10.57062/ijpem-st.2023.0059,https://openalex.org/W4383376963,,145,10.57062/ijpem-st.2023.0059,1.0,1.0,3,3
publication:2023:5c49a3699a70,2023,A novel quality inspection method for aerosol jet printed sensors through infrared imaging and machine learning,10.1016/j.cirp.2023.03.029,https://openalex.org/W4367042626,,165,10.1016/j.cirp.2023.03.029,1.0,1.0,4,5
publication:2023:676599739f23,2023,A novel quality inspection method for aerosol jet printed sensors through infrared imaging and machine learning,10.1016/j.cirp.2023.03.029,https://openalex.org/W4367042626,,165,10.1016/j.cirp.2023.03.029,1.0,1.0,4,5
publication:2023:1ba192061b56,2023,A two-phase iterative mathematical programming-based heuristic for a flexible job shop scheduling problem with transportation,10.3390/app13085215,https://openalex.org/W4366829081,,5215,10.3390/app13085215,1.0,1.0,2,2
publication:2023:b5f71080407e,2023,Adaptive Voxelization and Material-dependent Process Parameter Assignment for Multi-material Additive Manufacturing,10.1109/ieem58616.2023.10406952,https://openalex.org/W4391423680,,,10.1109/ieem58616.2023.10406952,1.0,1.0,5,7
publication:2023:05dbe1f330d1,2023,"Additive Manufacturing for Automotive Industry: Status, Challenges and Future Perspectives",10.1109/ieem58616.2023.10406820,https://openalex.org/W4391422555,,,10.1109/ieem58616.2023.10406820,1.0,1.0,4,6
publication:2023:dd36dbd6473c,2023,Enhanced Energy Absorption of Additive-Manufactured Ti-6Al-4V Parts via Hybrid Lattice Structures,10.3390/mi14111982,https://openalex.org/W4388196831,,1982,10.3390/mi14111982,1.0,1.0,5,10
publication:2023:2f5ccd93027e,2023,Flexibility - Grand Challenge for Product Design and Production: Review and Status,10.1016/j.procir.2023.05.003,https://openalex.org/W4383648146,,,10.1016/j.procir.2023.05.003,1.0,1.0,4,5
publication:2023:9a799390ff59,2023,In-situ crack and keyhole pore detection in laser directed energy deposition through acoustic signal and deep learning,10.1016/j.addma.2023.103547,https://openalex.org/W4363649849,,103547,10.1016/j.addma.2023.103547,1.0,1.0,9,10
publication:2023:b6b0d4e0fd8d,2023,Key Enabling Technologies for Smart Factory in Automotive Industry: Status and Applications,10.57062/ijpem-st.2022.0017,https://openalex.org/W4313422800,,93,10.57062/ijpem-st.2022.0017,1.0,1.0,10,13
publication:2023:f7d825cadd46,2023,Multimodal sensor fusion for Real-time location-dependent defect detection in laser-directed energy deposition,10.1115/detc2023-110284,https://openalex.org/W4388858405,IDETC2023-110284,,10.1115/detc2023-110284,1.0,1.0,5,7
publication:2023:d0aa97521359,2023,Multisensor fusion-based digital twin for localized quality prediction in robotic laser-directed energy deposition,10.2139/ssrn.4341754,https://openalex.org/W4320008663,,102581,10.2139/ssrn.4341754,1.0,1.0,8,9
publication:2023:0985edb64ca4,2023,Multisensor fusion-based digital twin in additive manufacturing for in-situ quality monitoring and defect correction,10.1017/pds.2023.276,https://openalex.org/W4381185647,,,10.1017/pds.2023.276,1.0,1.0,5,6
publication:2023:3b67bc5103dd,2023,Strategic Production Process Design with Additive Manufacturing in a Make-to-stock Environment,10.1115/1.4063285,https://openalex.org/W4386245745,,11,10.1115/1.4063285,1.0,1.0,4,4
publication:2022:1287554c24f7,2022,A Surrogate Model to Predict Production Performance in Digital Twin based Smart Manufacturing,10.1115/1.4053038,https://openalex.org/W3214784771,,031007,10.1115/1.4053038,1.0,1.0,4,4
publication:2022:22403da661f0,2022,A data-driven framework to predict fused filament fabrication part properties using surrogate models and multi-objective optimisation,10.21203/rs.3.rs-1159839/v1,https://openalex.org/W4200196081,,8275,10.21203/rs.3.rs-1159839/v1,1.0,1.0,3,3
publication:2022:97d728651979,2022,Discovery of Customized Dispatching rule for Single-Machine Production Scheduling using Deep Reinforcement Learning,10.1115/detc2022-89829,https://openalex.org/W4312278207,DETC2022-89829,,10.1115/detc2022-89829,1.0,1.0,5,5
publication:2022:de4a2b08947c,2022,Guidelines for 3D Printed Spring Using Material Extrusion,10.1108/rpj-04-2020-0078,https://openalex.org/W3201441528,,409,10.1108/rpj-04-2020-0078,0.9913,0.9913,2,3
publication:2022:9ae50c91f99d,2022,How to use the Levers of Modularity properly – Linking Modularization to Economic Targets,10.1115/1.4054023,https://openalex.org/W4214852399,,071401,10.1115/1.4054023,1.0,1.0,13,14
publication:2022:8b784382c8d6,2022,In-Situ Acoustic Monitoring of Direct Energy Deposition Process with Deep Learning-Assisted Signal Denoising,10.1016/j.matpr.2022.09.008,https://openalex.org/W4295994902,,136,10.1016/j.matpr.2022.09.008,1.0,1.0,3,4
publication:2022:889c9a31a764,2022,In-Situ Acoustic Monitoring of Direct Energy Deposition Process with Deep Learning-Assisted Signal Denoising,10.1016/j.matpr.2022.09.008,https://openalex.org/W4295994902,,136,10.1016/j.matpr.2022.09.008,1.0,1.0,3,4
publication:2022:fa16becedb65,2022,In-process adaptive dimension correction strategy for laser aided additive manufacturing,,https://openalex.org/W4214872519,,1175544,10.1016/j.jmatprotec.2022.117544,0.8713,0.8713,7,8
publication:2022:9fb5066c7f55,2022,In-situ Melt Pool Monitoring of Laser Aided Additive Manufacturing Using Infrared Thermal Imaging,10.1109/ieem55944.2022.9989715,https://openalex.org/W4312198824,,,10.1109/ieem55944.2022.9989715,1.0,1.0,4,5
publication:2022:b174f83b7c83,2022,Laser powder bed fusion for AI assisted digital metal components,10.1080/17452759.2022.2068804,https://openalex.org/W4229028810,,806,10.1080/17452759.2022.2068804,1.0,1.0,16,19
publication:2022:a55ed494c20e,2022,Modelling the Stiffness of Plastic Springs Manufactured via Additive Manufacturing,10.1177/09544054211038282,https://openalex.org/W3190655419,,486,10.1177/09544054211038282,1.0,1.0,2,3
publication:2022:8be050511a70,2022,Toolpath design for in-process surface defect correction in hybrid additive-subtractive manufacturing,,,,,10.1016/j.addma.2025.104812,0.5094,,3,3
publication:2021:186ffed775bb,2021,A knowledge transfer framework to support rapid process modeling in aerosol jet printing,10.1016/j.aei.2021.101264,https://openalex.org/W3132233412,,101264,10.1016/j.aei.2021.101264,1.0,1.0,4,4
publication:2021:d4c51759ad5f,2021,Data-driven Design Strategy in Fused Filament Fabrication: Status and Opportunities,10.1093/jcde/qwaa094,https://openalex.org/W3118283476,,489,10.1093/jcde/qwaa094,1.0,1.0,2,2
publication:2021:13dfade6f2d6,2021,Effect Of Build Angle On Surface Roughness Of High-speed Selective Laser Melted Ti–6Al–4V Alloy,10.1007/978-981-16-5763-4_23,https://openalex.org/W3195963869,,,10.1007/978-981-16-5763-4_23,1.0,1.0,5,6
publication:2021:862c990db473,2021,Effect of geometry on the mechanical response of additively manufactured polymer,10.1016/j.polymertesting.2021.107245,https://openalex.org/W3164573603,,107245,10.1016/j.polymertesting.2021.107245,1.0,1.0,3,3
publication:2021:c03827c42c14,2021,Geometric influence of the laser-based powder bed fusion process in Ti6AL4V and AlSi10Mg,10.1007/s00170-021-07089-0,https://openalex.org/W3153937417,,3165,10.1007/s00170-021-07089-0,1.0,1.0,4,4
publication:2021:66640c7e16d6,2021,Hybrid Decision Support to Monitor Atrial Fibrillation for Stroke Prevention,10.3390/ijerph18020813,https://openalex.org/W3125292327,,813,10.3390/ijerph18020813,1.0,1.0,5,7
publication:2021:65e144e8e92f,2021,Reverse effect of hot isostatic pressing on high-speed selective laser melted Ti-6Al-4V alloy,10.1016/j.msea.2021.140880,https://openalex.org/W3129166188,,140880,10.1016/j.msea.2021.140880,1.0,1.0,8,9
publication:2021:78361573e06a,2021,Phase-Field Crystal Modelling of Deformation Behavior in Grain Growth,10.1007/978-981-16-5763-4_48,https://openalex.org/W3193973008,,,10.1007/978-981-16-5763-4_48,1.0,1.0,3,3
publication:2021:1943bde70560,2021,Prediction of Production Performance in Smart Manufacturing using Multivariate Adaptive Regression Spline,10.1115/detc2021-69632,https://openalex.org/W3212224578,DETC2021-69632,,10.1115/detc2021-69632,1.0,1.0,4,4
publication:2021:32b9181bd880,2021,Rapid Surface Defect Identification for Additive Manufacturing with in-situ Point Cloud Processing and Machine Learning,10.1080/17452759.2020.1832695,https://openalex.org/W3130247865,,50,10.1080/17452759.2020.1832695,1.0,1.0,4,7
publication:2021:f4153571f64e,2021,Reviews on machine learning approaches for process optimization in non-contact direct ink writing,10.1021/acsami.1c04544,https://openalex.org/W3165698513,,45,10.1021/acsami.1c04544,0.9948,0.9948,2,2
publication:2021:c4d9760ac41c,2021,The effect of annealing on additive manufactured ULTEM™ 9085 mechanical properties,10.3390/ma14112907,https://openalex.org/W3165017680,,11,10.3390/ma14112907,1.0,1.0,2,3
publication:2020:f3c940c43c53,2020,3D Printed Electronics of Non-contact Ink Writing Techniques: Status and Promise,10.1007/s40684-019-00139-9,https://openalex.org/W2958160606,,511,10.1007/s40684-019-00139-9,1.0,1.0,3,3
publication:2020:20fb448d54a2,2020,A Part Consolidation Design Method for Additive Manufacturing based on Disassembly Complexity,10.3390/app10031100,https://openalex.org/W3004416703,,1100,10.3390/app10031100,0.9588,0.9588,2,2
publication:2020:c71c7fa1fe08,2020,A Post-treatment Method to Enhance the Property of Aerosol Jet Printed Electric Circuit on 3D Printed Substrate,10.3390/ma13245602,https://openalex.org/W3110866403,,24,10.3390/ma13245602,1.0,1.0,6,8
publication:2020:189c382bc073,2020,A customized smart medical mask for healthcare personnel,10.1109/ieem45057.2020.9309863,https://openalex.org/W3119393526,,,10.1109/ieem45057.2020.9309863,1.0,1.0,5,7
publication:2020:27f3d0c85544,2020,A multi-objective optimization framework for aerosol jet customized line width printing via small data set and prediction uncertainty,10.1016/j.jmatprotec.2020.116779,https://openalex.org/W3031087210,,116779,10.1016/j.jmatprotec.2020.116779,1.0,1.0,4,4
publication:2020:e5e4335964fa,2020,Artificial intelligence for the prediction of tensile properties by using microstructural parameters in high strength steels,10.1016/j.mtla.2020.100699,https://openalex.org/W3022196635,,100699,10.1016/j.mtla.2020.100699,1.0,1.0,14,24
publication:2020:e26776d1562b,2020,Data-driven adaptive control for laser-based additive manufacturing with automatic controller tuning,10.3390/app10227967,https://openalex.org/W3098547112,,22,10.3390/app10227967,1.0,1.0,6,7
publication:2020:a8196dbc18f2,2020,Embedding Sensors using Selective Laser Melting for Self-Cognitive Metal Parts,10.1016/j.addma.2020.101151,https://openalex.org/W3006691357,,101151,10.1016/j.addma.2020.101151,1.0,1.0,14,19
publication:2020:ca5d8da1f506,2020,Impact of Modularity on a Firm’s Economic Objectives,10.1115/1.4044914,https://openalex.org/W2974744909,,041403,10.1115/1.4044914,0.9107,0.9107,7,7
publication:2020:d26319b67e32,2020,Multi-objective Implementation of Additive Manufacturing in Make-to-stock Production,10.1115/1.0001803v,https://openalex.org/W4246793733,DETC2020-22085,,10.1115/1.0001803v,1.0,1.0,3,3
publication:2020:a45044618b8e,2020,Process Characterization for Additively Manufactured ULTEM 9085 using Bayesian Inference,,,,,10.1016/j.polymertesting.2019.106255,0.5758,,2,2
publication:2020:434218d1f3bf,2020,Rapid process modeling of the Aerosol Jet printing based on Gaussian process regression with Latin hypercube sampling,10.1007/s12541-019-00237-3,https://openalex.org/W2976882997,,127,10.1007/s12541-019-00237-3,1.0,1.0,5,6
publication:2020:68b9a1d7cb8f,2020,Surface monitoring for additive manufacturing with in-situ point cloud processing,10.1109/iccar49639.2020.9108092,https://openalex.org/W3033747567,,,10.1109/iccar49639.2020.9108092,1.0,1.0,5,6
publication:2020:69d768b640a6,2020,A hybrid multi-objective optimization of aerosol jet printing process via response surface methodology,10.1016/j.addma.2020.101096,https://openalex.org/W3004323929,,101096,10.1016/j.addma.2020.101096,1.0,1.0,4,4
publication:2019:3434a4e34c2d,2019,A New Laser Scan Method for Microstructural Control in Selective Laser Melting Process,,,,221,10.32657/10356/143157,0.6043,,4,4
publication:2019:1f0ba489fd65,2019,A heterostructure of layered double hydroxide wrapped in few-layer carbon with iridium doping for efficient oxygen evolution,10.1016/j.electacta.2018.11.094,https://openalex.org/W2900609620,,590,10.1016/j.electacta.2018.11.094,1.0,1.0,3,3
publication:2019:611ecf63be56,2019,Additive Manufacturing for Space: Status and Promise,10.1007/s00170-019-03786-z,https://openalex.org/W2946194440,,10,10.1007/s00170-019-03786-z,0.9903,0.9903,2,3
publication:2019:3c6b1fe00874,2019,Advanced aircraft manufacturing and maintenance using three-dimensional printing,10.1007/s00170-019-04604-2,https://openalex.org/W2986017283,,10,10.1007/s00170-019-04604-2,1.0,1.0,4,7
publication:2019:6c4e13cdf26b,2019,Characterization of wear properties of the functionally graded material deposited on cast iron by laser aided additive manufacturing,10.1007/s00170-019-03414-w,https://openalex.org/W2912596900,,10,10.1007/s00170-019-03414-w,1.0,1.0,7,9
publication:2019:f5a8cd9527d3,2019,Comparison of carbon-based reinforcement on laser aided additive manufacturing Inconel 625 composites,10.1016/j.apsusc.2019.06.008,https://openalex.org/W2948236385,,522,10.1016/j.apsusc.2019.06.008,1.0,1.0,7,8
publication:2019:d01e29d9da9e,2019,Decentralized determination of design variables among cooperative designers for multiple product platform design in a product family,10.1016/j.cie.2019.06.039,https://openalex.org/W2950942084,,601,10.1016/j.cie.2019.06.039,0.9647,0.9647,3,4
publication:2019:602b56608fa8,2019,Eco-Modular Product Architecture Identification and Assessment for Product Recovery,10.1007/s10845-016-1253-7,,,383,10.1007/s10845-016-1253-7,1.0,,2,2
publication:2019:6b14f42ad7f3,2019,Failure Analysis and Finite Element Simulation for Structural Systems in an Unmanned Aerial Vehicle,10.1109/urai.2019.8768648,https://openalex.org/W2966871132,,,10.1109/urai.2019.8768648,1.0,1.0,5,8
publication:2019:16609c8aa806,2019,An Integrated Two-Stage Optimization Method for Job-Shop Bottleneck Planning and Scheduling,10.1109/ieem44572.2019.8978728,https://openalex.org/W3004255314,,,10.1109/ieem44572.2019.8978728,1.0,1.0,2,2
publication:2019:d20cfa84ba93,2019,Hybrid Machine Learning Method to Determine the Optimal Operating Process Window in Aerosol Jet 3D Printing,10.1021/acsami.9b02898.s001,https://openalex.org/W6922088726,,19,10.1021/acsami.9b02898.s001,1.0,0.9953,3,5
publication:2019:a1bd55f4ee4d,2019,Investigation on the Effect of Annealing on Additive Manufactured ULTEM™ 9085 Mechanical Properties,10.3390/ma14112907,https://openalex.org/W3165017680,,,10.3390/ma14112907,0.905,0.905,2,3
publication:2019:45842552d962,2019,Laser-induced graphene on Additive Manufacturing ULTEM parts,10.3390/nano9010090,https://openalex.org/W2909749787,,,10.3390/nano9010090,0.9474,0.9474,8,9
publication:2019:9bcb30990a4e,2019,A Reusable Scheduling Problem Decomposition Framework for Smart Factories,10.1109/ieem44572.2019.8978579,https://openalex.org/W3003169432,,,10.1109/ieem44572.2019.8978579,1.0,1.0,2,4
publication:2019:e671bed0e3ae,2019,PhD Research Learning in Product Architecture Design,10.1017/dsi.2019.59,https://openalex.org/W2966074593,,549,10.1017/dsi.2019.59,1.0,1.0,4,4
publication:2019:b7c18090042d,2019,Sustainable Development and Corporate Social Responsibility in the Luxury Market,10.15444/gfmc2019.02.06.02,https://openalex.org/W2953492016,,236,10.15444/gfmc2019.02.06.02,1.0,1.0,5,5
publication:2018:c34573aaaab1,2018,A Human Centered Design Framework to Support Product-service Systems,10.1109/ieem.2018.8607680,https://openalex.org/W2909262173,,545,10.1109/ieem.2018.8607680,1.0,1.0,6,11
publication:2018:8812f6a37844,2018,A Multi-Material Part Design Framework in Additive Manufacturing,10.1007/s00170-018-2025-7,https://openalex.org/W2800939451,,2111,10.1007/s00170-018-2025-7,1.0,1.0,4,5
publication:2018:fc6653a4be49,2018,A hybrid 3D printing method to develop embedded smart sensors,,,,18,10.1145/3230744.3230812,0.3841,,4,4
publication:2018:1bbb416c3356,2018,Characterization of Mechanical Properties of ULTEM®9085 Using FDM,,,,,10.1016/j.polymertesting.2018.10.040,0.5541,,4,4
publication:2018:0b2492d16f1d,2018,Comparison Study on Additive Manufacturing (AM) and Powder Metallurgy (PM) AlSi10Mg Alloys,10.1007/s11837-018-2793-4,https://openalex.org/W2792122015,,644,10.1007/s11837-018-2793-4,1.0,1.0,7,7
publication:2018:ff0d05ae2f9f,2018,Comparison of Elastic Properties for Different Sample Types Fabricated with Additive Manufacturing,,,,,10.1016/j.promfg.2017.07.072,0.7129,,3,3
publication:2018:e3f0f9f074c7,2018,Decentralized Determination of Design Variables among Cooperative Designers for a General Aviation Aircraft Product Family,,https://openalex.org/W2950942084,,,10.1016/j.cie.2019.06.039,0.8408,0.8408,3,4
publication:2018:4828f30d62d2,2018,Femtosecond laser produced hydrophobic hierarchical structures on Additive Manufacturing parts,10.3390/nano8080601,https://openalex.org/W2887138818,,,10.3390/nano8080601,1.0,1.0,6,6
publication:2018:221a57433973,2018,Finite Element Method and Parametric Study on Material Properties and Friction Coefficients for Design of Mechanical Components,10.1115/detc2018-85866,https://openalex.org/W2898993426,DETC2018-85866,,10.1115/detc2018-85866,1.0,1.0,6,7
publication:2018:c91dee912dda,2018,Glasses-type Wearable Computer Displays: Usability Considerations Examined with a 3D Glasses Case Study,10.1080/00140139.2017.1401670,https://openalex.org/W2767518956,,670,10.1080/00140139.2017.1401670,1.0,1.0,8,9
publication:2018:d53603fb46b8,2018,Hole Design Quality Identification in Laser Aided Additive Manufacturing,10.1177/0954405416657584,https://openalex.org/W2466782092,,909,10.1177/0954405416657584,1.0,1.0,3,3
publication:2018:182a4eb18817,2018,Laser Induced Hydrophobicity on the Ti6Al4V Additive Manufacturing Parts,10.25341/d47c7d,https://openalex.org/W2890441466,,,10.3390/nano9010090,0.7778,1.0,2,3
publication:2018:940b412319e1,2018,Numerical Study of Temperature and Cooling Rate in Selective Laser Melting with Functionally Graded Support Structures,10.1016/j.addma.2018.10.039,https://openalex.org/W2898379709,,543,10.1016/j.addma.2018.10.039,1.0,1.0,5,6
publication:2018:425e18233ddd,2018,Numerical and experimental study of laser aided additive manufacturing for melt-pool profile and grain orientation analysis,10.1016/j.matdes.2017.10.033,https://openalex.org/W2763688645,,286,10.1016/j.matdes.2017.10.033,1.0,1.0,7,7
publication:2018:60bad32c6a30,2018,Predictive Maintenance of a Train System Using Multilayer Perceptron Artificial Neural Network,10.1109/icirt.2018.8641604,https://openalex.org/W2913531020,,59,10.1109/icirt.2018.8641604,0.9895,0.9895,5,8
publication:2018:25e4fde4bde2,2018,Rapid process modeling of the Aerosol Jet printing based on Gaussian process regression with Latin hypercube sampling,10.1007/s12541-019-00237-3,https://openalex.org/W2976882997,,,10.1007/s12541-019-00237-3,1.0,1.0,5,6
publication:2018:f1e2a420dcce,2018,aper ID:62,,,,62,10.1093/oed/9678760617,0.625,,7,7
publication:2017:212621ac830d,2017,A Hybrid Machine Learning Approach for Additive Manufacturing Design Feature Recommendation,10.1108/rpj-03-2016-0041,https://openalex.org/W2762176217,,983,10.1108/rpj-03-2016-0041,1.0,1.0,3,3
publication:2017:6ae0c3c13965,2017,Characteristic Length of the Solidified Melt Pool in Selective Laser Melting Process,10.1108/rpj-06-2015-0076,https://openalex.org/W2606425908,,370,10.1108/rpj-06-2015-0076,1.0,1.0,4,5
publication:2017:811db73d95a0,2017,Commonality and Performance Metrics to Evaluate and Optimize the Design of Additive Manufactured Product Families,10.1504/ijmr.2017.083654,https://openalex.org/W4233830556,,44,10.1504/ijmr.2017.083654,0.9912,0.9912,4,4
publication:2017:05956758b3ed,2017,Contrasting Function with Affordance in Design for Additive Manufacturing,10.1115/detc2017-68157,https://openalex.org/W2766677893,DETC2017-68157,,10.1115/detc2017-68157,1.0,1.0,2,2
publication:2017:f20f4dcabd69,2017,Customized Sensors for Structural Health Monitoring in a Train System,,,,,10.1115/smasis2017-3839,0.6331,,6,6
publication:2017:0e84d2f55217,2017,Disassembly Complexity-Driven Module Identification for Additive Manufacturing,10.3233/978-1-61499-779-5-782,https://openalex.org/W3212647124,,,10.3233/978-1-61499-779-5-782,1.0,1.0,2,3
publication:2017:75299fdc7961,2017,Effective of the TiC Nanoparticle on Microstructures and Tensile Properties of Selective Laser Melted IN718/TiC Nanocomposites,10.1088/1757-899x/317/1/012074,https://openalex.org/W2789338896,,,10.1088/1757-899x/317/1/012074,0.984,0.984,4,4
publication:2017:be71c506b741,2017,Effects of Heat Treatment on Microstructures and Tensile Properties of IN718/TiC Nanocomposite Fabricated by Selective Laser Melting,10.1007/s12541-017-0197-y,https://openalex.org/W2772474018,,12,10.1007/s12541-017-0197-y,1.0,1.0,4,4
publication:2017:687073c348a7,2017,Multidisciplinary Design Optimization to Identify Additive Manufacturing Resources in Customized Product Development,10.1016/j.jcde.2016.10.001,https://openalex.org/W2542888042,,131,10.1016/j.jcde.2016.10.001,1.0,1.0,3,3
publication:2017:043ea2522281,2017,Polymer-assisted formation of 3D Pd nanoassemblies: highly active catalysts for formic acid electrooxidation,10.1039/c7se00031f,https://openalex.org/W2601388151,,450,10.1039/c7se00031f,1.0,1.0,3,3
publication:2017:fbea4c87bc4c,2017,Process Monitoring and Inspection Systems in Metal Additive Manufacturing: Status and Applications,10.1007/s40684-017-0029-7,https://openalex.org/W2606155622,,235,10.1007/s40684-017-0029-7,1.0,1.0,3,4
